symptoms,doctor_specialty
"cough, body ache, nausea, runny nose",General Physician
"hair loss, hives, swelling after exposure",Dermatologist
"cold intolerance, frequent urination",Endocrinologist
"fatigue, unexplained weight loss, cold intolerance",Endocrinologist
"breast lump, pelvic pain, heavy bleeding, vaginal discharge, menstrual cramps",Gynecologist
"stiffness, back pain, limited range of motion, swelling",Orthopedist
"coughing blood, persistent cough, weight gain",Pulmonologist
joint pain,Orthopedist
"swelling of legs, fainting, sweating, palpitations",Cardiologist
"chills, loss of appetite, body ache, tinnitus",General Physician
"fatigue, sore throat, body ache",General Physician
"painful periods, pelvic pain, irregular periods",Gynecologist
"redness, blisters, hives",Dermatologist
"penile discharge, frequent urination, difficulty passing urine",Urologist
"fatigue, hives",Allergist/Immunologist
"reduced urine output, foamy urine",Nephrologist
"insomnia, mood swings, depressed mood, panic attacks",Psychiatrist
"redness, acne",Dermatologist
cough,General Physician
"fatigue, nausea",General Physician
"sudden vision loss, red eye",Ophthalmologist
"redness, blisters, dry skin, itching, scaly patches, hives",Dermatologist
"floaters, sudden vision loss, fever",Ophthalmologist
"excessive thirst, cold intolerance",Endocrinologist
high blood pressure,Cardiologist
"palpitations, swelling of legs, radiating arm pain, high blood pressure, shortness of breath",Cardiologist
"sneezing, itchy eyes, fatigue",Allergist/Immunologist
"blood in urine, penile discharge, difficulty passing urine",Urologist
"weight gain, persistent cough, wheezing",Pulmonologist
"itchy eyes, fatigue",Allergist/Immunologist
"loss of appetite, mild headache, headache, runny nose",General Physician
"fatigue, runny nose",ENT Specialist
stiffness,Orthopedist
"sweating, high blood pressure, radiating arm pain, swelling of legs",Cardiologist
"acne, skin rash",Dermatologist
"constipation, heartburn, vomiting",Gastroenterologist
"weakness, seizures, numbness",Neurologist
"fever, insomnia, depressed mood",Psychiatrist
"hearing loss, weight gain, fatigue",ENT Specialist
"fatigue, cold",General Physician
"seizures, loss of consciousness, headache, dizziness, weakness, sweating",Neurologist
"shortness of breath, fainting, high blood pressure, palpitations",Cardiologist
"fever, blurred vision, watering eyes, red eye",Ophthalmologist
"watering eyes, eye pain, heat intolerance",Ophthalmologist
"frequent urination, unexplained weight loss",Endocrinologist
"swelling of legs, chest pain, shortness of breath",Cardiologist
"fever, burning urination, blood in urine",Urologist
"sweating, swelling of legs, high blood pressure",Cardiologist
"hearing loss, headache, nasal congestion",ENT Specialist
"dry skin, hives, blisters, scaly patches",Dermatologist
"frequent urination, lower abdominal pain, blood in urine, difficulty passing urine, penile discharge",Urologist
"fever, sore throat, loss of appetite",General Physician
"fever, blood in urine, dizziness",Urologist
nausea,General Physician
"eye pain, red eye, floaters",Ophthalmologist
"constipation, bloating",Gastroenterologist
"wheezing, chest tightness",Pulmonologist
"cough, nausea",General Physician
"irregular periods, vaginal discharge, heavy bleeding",Gynecologist
"weight gain, vomiting, headache",Gastroenterologist
"lower abdominal pain, burning urination, fever, penile discharge, dizziness, joint pain",Urologist
"difficulty passing urine, frequent urination, blood in urine",Urologist
"swelling of feet, foamy urine",Nephrologist
"painful periods, heavy bleeding, vaginal discharge",Gynecologist
"frequent urination, fatigue",Endocrinologist
"limited range of motion, joint pain, stiffness",Orthopedist
suicidal thoughts,Psychiatrist
"runny nose, chills, fatigue",General Physician
"hives, hair loss",Dermatologist
"suicidal thoughts, panic attacks, anxiety",Psychiatrist
"muscle weakness, bone pain",Orthopedist
"high blood pressure, fainting, shortness of breath, swelling of legs",Cardiologist
"chills, cold, fever",General Physician
"runny nose, nausea, chills",General Physician
"stiffness, swelling, joint pain",Orthopedist
"chills, sore throat, cough",General Physician
"headache, weakness, dizziness",Neurologist
"hives, redness, skin rash, hair loss",Dermatologist
"itching, blisters",Dermatologist
"fatigue, sore throat",General Physician
"swelling, back pain",Orthopedist
"reduced urine output, flank pain, blood in urine",Nephrologist
"excessive thirst, fatigue",Endocrinologist
"headache, runny nose",ENT Specialist
"nausea, headache",Gastroenterologist
"swelling, bone pain",Orthopedist
"runny nose, fatigue, chills, fever",General Physician
"fainting, palpitations, swelling of legs",Cardiologist
"abdominal pain, nausea",Gastroenterologist
"memory loss, loss of consciousness, numbness",Neurologist
"persistent cough, recurrent lung infections, weight gain",Pulmonologist
"dry skin, redness",Dermatologist
"floaters, fever, sudden vision loss, watering eyes, eye pain",Ophthalmologist
"hives, wheezing, swelling after exposure, fatigue, itchy eyes",Allergist/Immunologist
"dizziness, lower abdominal pain",Urologist
"floaters, eye discharge",Ophthalmologist
"nausea, loss of appetite, chills, headache",General Physician
difficulty passing urine,Urologist
"sneezing, itchy eyes",Allergist/Immunologist
"shortness of breath, palpitations, high blood pressure",Cardiologist
"fever, difficulty passing urine, swelling",Urologist
headache,Gastroenterologist
"runny nose, cough",General Physician
"depressed mood, anxiety, fever, insomnia",Psychiatrist
"mild headache, loss of appetite, cough",General Physician
"redness, hair loss, itching, hives",Dermatologist
"fatigue, unexplained weight loss, cold intolerance",Endocrinologist
"hives, sneezing, itchy eyes",Allergist/Immunologist
"swelling of feet, weight gain, foamy urine",Nephrologist
"numbness, hallucinations",Neurologist
"menstrual cramps, pelvic pain, heavy bleeding",Gynecologist
"persistent cough, weight gain, chest tightness, recurrent lung infections",Pulmonologist
"pelvic pain, painful periods, heavy bleeding",Gynecologist
"hearing loss, ear pain, runny nose",ENT Specialist
"sore throat, nausea, runny nose, cold",General Physician
"loss of appetite, nausea",General Physician
"runny nose, loss of appetite, chills",General Physician
"cough, chills, blisters",General Physician
"fatigue, body ache",General Physician
stiffness,Orthopedist
fever,General Physician
"panic attacks, suicidal thoughts",Psychiatrist
memory loss,Neurologist
"weight gain, bloating",Gastroenterologist
"fatigue, ear pain",ENT Specialist
"breast lump, vaginal discharge, heavy bleeding, painful periods",Gynecologist
"headache, loss of appetite, sore throat",General Physician
"itching, dry skin, scaly patches",Dermatologist
"sore throat, fatigue",General Physician
"constipation, diarrhea, weight gain",Gastroenterologist
weight gain,Endocrinologist
"hallucinations, panic attacks, fever",Psychiatrist
"sneezing, fatigue",Allergist/Immunologist
"pelvic pain, vaginal discharge, heavy bleeding",Gynecologist
"heartburn, diarrhea, weight gain",Gastroenterologist
"red eye, eye discharge, blurred vision, flank pain",Ophthalmologist
"weight gain, wheezing",Pulmonologist
"dizziness, blood in urine, fever",Urologist
"palpitations, radiating arm pain, shortness of breath",Cardiologist
"headache, mild headache",General Physician
"slurred speech, dizziness",Neurologist
"heartburn, weight gain",Gastroenterologist
"heartburn, nausea, bloating",Gastroenterologist
"weight gain, sore throat, nasal congestion",ENT Specialist
"back pain, limited range of motion, joint pain",Orthopedist
"mild headache, nausea",General Physician
"radiating arm pain, fainting",Cardiologist
"fever, watering eyes",Ophthalmologist
"irregular periods, menstrual cramps",Gynecologist
"weight gain, swelling of feet, blood in urine",Nephrologist
"dizziness, burning urination, difficulty passing urine",Urologist
"weight gain, ear pain, hearing loss",ENT Specialist
"fatigue, hearing loss, nasal congestion",ENT Specialist
"fever, blood in urine",General Physician
"hives, fatigue, swelling after exposure",Allergist/Immunologist
"hives, skin rash, redness",Dermatologist
"cold, body ache, fatigue",General Physician
"stiffness, muscle weakness, bone pain, back pain",Orthopedist
"sore throat, headache",General Physician
"frequent urination, weight gain",Endocrinologist
"penile discharge, dizziness, burning urination",Urologist
"headache, dizziness, weakness, slurred speech",Neurologist
"nausea, mild headache, fatigue, runny nose",General Physician
"runny nose, fatigue",Allergist/Immunologist
numbness,Neurologist
"coughing blood, wheezing",Pulmonologist
"cough, loss of appetite, cold",General Physician
"chills, loss of appetite, headache",General Physician
"stiffness, bone pain, limited range of motion",Orthopedist
"foamy urine, blood in urine",Nephrologist
"palpitations, chest pain, fainting, swelling of legs",Cardiologist
"runny nose, nausea",General Physician
"coughing blood, shortness of breath",Pulmonologist
"cough, fatigue, runny nose",General Physician
"reduced urine output, swelling of feet, foamy urine, high creatinine",Nephrologist
"memory loss, dizziness, seizures, headache, loss of consciousness",Neurologist
"acne, blisters, redness",Dermatologist
"vomiting, bloating, nausea, headache, high blood pressure",Gastroenterologist
"shortness of breath, wheezing, persistent cough",Pulmonologist
"blurred vision, watering eyes",Ophthalmologist
"constipation, vomiting",Gastroenterologist
"joint pain, back pain",Orthopedist
runny nose,General Physician
"eye pain, red eye",Ophthalmologist
"body ache, nausea, sore throat",General Physician
"nausea, vomiting",Gastroenterologist
"lower abdominal pain, dizziness",Urologist
"fatigue, heat intolerance, frequent urination",Endocrinologist
"depressed mood, panic attacks, fever, suicidal thoughts, shortness of breath",Psychiatrist
"vaginal discharge, painful periods, pelvic pain",Gynecologist
"sore throat, weight gain, fatigue, hoarseness",ENT Specialist
"skin rash, hair loss, acne",Dermatologist
"frequent urination, unexplained weight loss, weight gain, fatigue, excessive thirst",Endocrinologist
"cold, fever",General Physician
"headache, body ache",General Physician
"skin rash, redness, blisters",Dermatologist
"shortness of breath, chest pain, swelling of legs, high blood pressure",Cardiologist
"redness, acne, itching",Dermatologist
"breast lump, menstrual cramps, painful periods, irregular periods",Gynecologist
runny nose,General Physician
"nausea, fatigue, sore throat",General Physician
"breast lump, vaginal discharge, menstrual cramps, irregular periods",Gynecologist
"heavy bleeding, vaginal discharge, menstrual cramps, irregular periods",Gynecologist
"foamy urine, high creatinine, weight gain",Nephrologist
"high creatinine, reduced urine output",Nephrologist
"mild headache, fatigue, nausea, sore throat, cold",General Physician
"hives, acne, skin rash",Dermatologist
"bone pain, back pain, joint pain",Orthopedist
"itching, scaly patches, hair loss, blisters",Dermatologist
"burning urination, penile discharge",Urologist
"runny nose, loss of appetite, chills, shortness of breath",General Physician
"weight gain, blood in urine, foamy urine, painful periods",Nephrologist
"sore throat, hearing loss, tinnitus, nasal congestion",ENT Specialist
"abdominal pain, blood in stool, diarrhea, headache",Gastroenterologist
"high creatinine, swelling of feet",Nephrologist
"fatigue, nausea",General Physician
"breast lump, vaginal discharge, pelvic pain",Gynecologist
"coughing blood, shortness of breath, wheezing",Pulmonologist
"blisters, skin rash",Dermatologist
swelling after exposure,Allergist/Immunologist
"redness, hair loss, blisters, hives, dry skin",Dermatologist
"heavy bleeding, painful periods, pelvic pain, vaginal discharge",Gynecologist
"hair loss, itching, redness",Dermatologist
"headache, dizziness, weakness, numbness, memory loss",Neurologist
"dry skin, itching",Dermatologist
hair loss,Dermatologist
"menstrual cramps, vaginal discharge, painful periods, heavy bleeding, irregular periods",Gynecologist
